HOW TO READ THIS FILE
=====================
Each style was run on the same 6 input sentences with TinyStyler.
All counts are out of 6 outputs per style.

avg_dist   How different the output text is from the input, averaged over
           the 6 outputs. Per output: both strings are lowercased, then
           compared with Python's difflib.SequenceMatcher; the score is
           1 - (matching ratio), so 0.0 = identical to the input and
           1.0 = nothing in common. This only measures that the TEXT
           changed, not that the STYLE is right: hallucinated ramble
           scores high, and a correct all-caps conversion scores near 0
           because the comparison ignores case.
copies     Outputs nearly identical to the input (avg_dist < 0.05):
           the style did (almost) nothing.
swears     Outputs containing profanity (simple word check).
halluc     LLM-as-a-judge: outputs that INVENT content not in the input
           (new facts, names, invented continuations; degenerate
           repetition also counts). Judge: Claude, one pass per style.
in_style   LLM-as-a-judge: outputs that clearly exhibit the target
           style, judged against the style's own bank examples.
           Caution: for styles whose examples are generic casual text
           (e.g. the demographics), generic casual output counts as a
           match, so a high value there means little.
halluc/in_style are model judgments, not ground truth.

Styles are grouped; within each group, biggest text change first.


--- new: celebrity accounts ---
avg_dist  copies  swears  halluc  in_style  style
   0.421       0       0       6         0  persuasive
   0.388       0       0       6         0  lyrical

--- old: core genres ---
avg_dist  copies  swears  halluc  in_style  style
   0.452       0       0       6         4  personal_blog
   0.434       0       0       6         6  discussion_forum
   0.428       0       1       6         0  recipe
   0.425       0       0       4         3  faq_about_information
   0.422       0       2       6         4  other_spoken
   0.399       0       1       5         0  advice
   0.393       1       0       5         2  faq_about_how_to
   0.391       0       0       3         0  research_article
   0.379       0       2       6         0  reviews
   0.376       0       2       6         0  prayer
   0.372       0       0       6         0  poem
   0.371       0       0       6         0  tv_movie_script
   0.370       0       0       5         0  short_story
   0.369       0       1       3         0  sports_report
   0.364       0       0       5         1  information_blog
   0.363       0       0       5         3  other_forum
   0.358       0       0       4         0  legal_terms_and_conditions
   0.348       0       0       5         0  advertisement
   0.346       0       0       5         2  how_to
   0.344       0       0       5         0  other_narrative
   0.342       0       0       0         0  song_lyrics
   0.340       0       1       4         0  historical_article
   0.300       0       1       5         0  description_of_a_person
   0.290       1       0       3         0  other_information
   0.289       0       0       4         0  technical_report
   0.287       1       1       4         0  news_report_blog
   0.285       1       0       4         1  other_informational_persuasion
   0.280       0       0       5         1  description_with_intent_to_sell
   0.276       1       0       3         0  persuasive_article_or_essay
   0.275       1       0       2         0  religious_blogs_sermons
   0.275       0       1       5         0  encyclopedia_article
   0.267       0       3       4         1  other_opinion
   0.267       1       0       3         1  letter_to_editor
   0.250       1       0       5         0  interview
   0.246       0       0       2         6  question_answer_forum
   0.234       1       1       4         0  magazine_article
   0.234       0       1       4         0  editorial
   0.230       1       0       2         0  course_materials
   0.208       1       1       5         0  description_of_a_thing
   0.198       0       1       2         4  reader_viewer_responses
   0.153       1       0       1         0  travel_blog
   0.149       0       0       2         6  formal_speech
   0.146       1       0       2         0  transcript_of_video_audio
   0.114       3       0       2         1  opinion_blog
   0.105       3       0       2         0  technical_support

--- old: tinystyler/stel ---
avg_dist  copies  swears  halluc  in_style  style
   0.218       0       0       1         6  question_tinystyler
   0.210       0       0       0         3  obama_tinystyler
   0.149       0       0       0         6  informal_tinystyler
   0.087       1       0       0         5  formal_stel

--- surface ---
avg_dist  copies  swears  halluc  in_style  style
   0.248       1       0       0         6  no_punctuation
   0.217       1       0       3         3  all_caps
   0.204       2       0       0         6  exclamations
   0.202       1       0       0         6  lowercase
   0.195       0       0       0         6  texting_abbreviations
   0.152       3       0       1         5  active_voice
   0.106       2       0       0         1  passive_voice

======================================================================
NEW: CELEBRITY ACCOUNTS
======================================================================

### ddlovato
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was conducted in a controlled lab setting! Hopefully this is the same thing as the Xanax experiment! #TeepsWith
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist at MIT. Congrats!!
  in : We are meeting tomorrow at noon to plan the trip.
  out: Meet tomorrow at noon to plan the trip! /u/Saiyan_Puts_Me_In_The_Cocktail
  in : The city council approved the new bike lanes after a long debate.
  out: I love the new bike lanes! After a long debate the city council approved them!!! #bikesaveours
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday?! #FantasyFeelGood
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie! The ending felt rushed but the movie was fantastic! Loved the ending to the screams and screams of the characters

### arianagrande
  in : The experiment was conducted in a controlled lab setting.
  out: a controlled lab setting! the experiment was done in a lab. i have a tahm tahm tah
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: she graduated from MIT and works as a data scientist! :( i hope she gets a job :( 
  in : We are meeting tomorrow at noon to plan the trip.
  out: we will meet at noon to plan our trip :) csgo &lt;3
  in : The city council approved the new bike lanes after a long debate.
  out: yea the city council approved the new bike lanes after a long debate :(
  in : Could you send me the report before Friday?
  out: ok i will send you the report before Friday :) /u/SeattleFootball
  in : I loved the movie, but the ending felt rushed.
  out: i loved the movie but the ending felt rushed &lt;3 fucking shit! &lt;3 fuck

### rihanna
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. Hopefully this will be a rerun of the same experiment! #Fools_are
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist! Congrats OP! /u/sneaky_gizmo
  in : We are meeting tomorrow at noon to plan the trip.
  out: Meeting at noon tomorrow to plan our trip! #stuckininthemoonlight #stuckinthemoonlight #stuck
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate! Thanks /u/dota2
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? /u/battle_crystals_witch_addicts_assault
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie! The ending felt rushed! *Savages* *Savages* *Anarchy* *Savages

### ladygaga
  in : The experiment was conducted in a controlled lab setting.
  out: I ran an experiment in a controlled lab setting. No tampons or tampons, no tampons or tamp
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. I have a gf who works as a data scientist at MIT!
  in : We are meeting tomorrow at noon to plan the trip.
  out: We meet tomorrow at noon to plan the trip! /u/AskAskAskAskAskAskAs
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved new bike lanes after a long debate. Thank you OP! &lt;3
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? /u/Joseph_Turtle &lt;3
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie! Only thing I felt rushed was the ending &lt;3

### jtimberlake
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting! It was a fucking shitshow! [](/teesye
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now a data scientist at MIT. Congrats! *Silver titties*
  in : We are meeting tomorrow at noon to plan the trip.
  out: Plan the trip! We meet tomorrow at noon EST! (Plz)
  in : The city council approved the new bike lanes after a long debate.
  out: YES! The city council approved the new bike lanes after a long debate! #BikeLaneBicycleLane
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I want to see the shit! #FuckingRainbows #BloodB
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie! The ending felt rushed though! *Snaps out of a hat*

### barackobama
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was done in a controlled lab setting. We're not talking about the actual 'soil' of the soil: the soil, the air
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist. #SayHitoYourBoard
  in : We are meeting tomorrow at noon to plan the trip.
  out: We will meet at noon to plan the trip. /u/RainbowSalem is a 'resource' to the community.
  in : The city council approved the new bike lanes after a long debate.
  out: It was a long debate, but the city council approved the new bike lanes. /u/ClintonRoads is right.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday?
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie, but the ending felt rushed. The ending to "The Last Word" is a cliche.

### jimmyfallon
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was done in a controlled lab setting! /u/LittleBabyBaby_Dragons_Dragons
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist at a data science company! #Bootstomp
  in : We are meeting tomorrow at noon to plan the trip.
  out: Meeting tomorrow at noon to plan the trip! #DreamsAndRoads
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved bike lanes after a long debate! Here's a map: https://en.wikipedia.org/wiki/Bike_La
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday?! /u/Peter_Clarke_Pete_Clarke_Pe
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie! The ending felt rushed! [](/twitch)

### britneyspears
  in : The experiment was conducted in a controlled lab setting.
  out: YES! In a controlled lab setting we conducted an experiment! #GirlsWithSex
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. Congrats!! /u/Daily_Snap_Sna
  in : We are meeting tomorrow at noon to plan the trip.
  out: Meeting tomorrow at noon to plan the trip! Looking forward to it! /u/Teets_Lotus
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved new bike lanes after a long debate! Gracias!
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? Thank you! /u/Meloda_Says
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie! The ending felt rushed :(

### justinbieber
  in : The experiment was conducted in a controlled lab setting.
  out: I conducted an experiment in a controlled lab setting. No shit. The results were amazing! /u/psn_psn_p
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. Thanks OP!
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. Go csgo swgs swgs swgs sw
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. Thanks OP
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday. /u/More_Daily_Report /u/Ask_More
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. If you like this movie check out /r/FastFood

### taylorswift13
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. This is the ol' shitposting shitposting shitposting 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. RIP /u/Sassy_Feel
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting at noon to plan our trip. /u/Slurpy_Dad_Is_A_Bad_Man
  in : The city council approved the new bike lanes after a long debate.
  out: City council approved the bike lanes after a long debate. Thanks for the support!
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? XD XD XD XD XD XD XD XD 
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie! The ending felt rushed though! [](/nsfwsp)

### shakira
  in : The experiment was conducted in a controlled lab setting.
  out: I conducted the experiment in a controlled lab setting. A ps4 ps4 ps4 ps4 ps4 p
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist! /s
  in : We are meeting tomorrow at noon to plan the trip.
  out: Meeting tomorrow at noon to plan the trip! /u/SilverSilverSilverSilverSilverSilverSilver
  in : The city council approved the new bike lanes after a long debate.
  out: City council approved bike lanes after a long debate! #BikeLanesAreBadMan
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? XD XD XD XD XD XD XD XD 
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie! The ending felt rushed &lt;3

### selenagomez
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was conducted in a controlled lab setting! #soontobeadoot
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now a data scientist. Congrats OP! /s
  in : We are meeting tomorrow at noon to plan the trip.
  out: We meet tomorrow at noon to plan the trip! +1 for the trip &lt;3
  in : The city council approved the new bike lanes after a long debate.
  out: The city council finally approved bike lanes! Thanks for the feedback OP! /u/Also_Swedish_Muslim_
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday?! XD XD XD XD XD XD XD XD 
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie! The ending felt rushed :(

### cristiano
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was conducted in a controlled lab setting. Added a photo! /u/elijah_elijah_e
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: Graduated from MIT and is now a data scientist. Congrats OP!
  in : We are meeting tomorrow at noon to plan the trip.
  out: Meeting at noon to plan the trip. Join us /u/AlsoSayMe!
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate! /s
  in : Could you send me the report before Friday?
  out: Send me the report before Friday. Happy Friday OP &lt;3
  in : I loved the movie, but the ending felt rushed.
  out: Loved the movie but the ending felt rushed. #CruelTip

### katyperry
  in : The experiment was conducted in a controlled lab setting.
  out: YES! This experiment was done in a controlled lab setting with a fucking microscope 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist! /s
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. #FunFollowMe
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. Bike lanes are now a thing! (/s)
  in : Could you send me the report before Friday?
  out: Could you send me a report before Friday op? /u/Blood_Peace /u/Teem
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed. RIP /u/scary_pants_

======================================================================
NEW: DEMOGRAPHICS
======================================================================

### age_25-34
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. They had a team of scientists and doctors. The experiment was done in a controlled lab setting. The results
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is now a data scientist at a startup. She is also a data scientist at a company called ad
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. This is the first trip we have planned. It will be a long trip. The first time we have been
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. This is a great move. I would recommend using the bike lanes on the south side of
  in : Could you send me the report before Friday?
  out: I would like to see the report before Friday. This is a very important report. It is going to be a very important report. The report is going to
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending was rushed. The climax was a little rushed. The ending was rushed. The ending was rushed.

### gender_female
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was done in a controlled lab setting. The chemist was able to get the test to work. The test was done in a lab setting
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is a data scientist. She has worked in the field for a while and she is a great person. She has
  in : We are meeting tomorrow at noon to plan the trip.
  out: We meet tomorrow at noon to plan the trip. You can find us on the wiki. The trip is going to be very long. We are going to have to
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. The city council also approved the new bike lanes. They were a huge success. I was
  in : Could you send me the report before Friday?
  out: Can you send me the report before Friday? It would be very helpful. The only problem is the dildos are a bit hard to find.
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. It felt rushed at the end. The ending was rushed too. It was like a movie about a family who was going through

### education_bachelor
  in : The experiment was conducted in a controlled lab setting.
  out: This was done in a controlled lab setting. The experiment was done in a lab. It was a very interesting experiment. The chemists were 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is now a data scientist at Google. She had a job at Google and a great job.
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We will be taking a small group. We will be going to the US, Europe and the UK. The
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. They will be added to the streets and the sidewalks will be widened. I think the
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? This is an amazing report. The only thing that is missing is the e-mail. The report will be sent to
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The character development was great. The movie was a bit more arc oriented than the previous two. The

### ethnic_southasian
  in : The experiment was conducted in a controlled lab setting.
  out: I like this experiment. It was conducted in a controlled lab setting. The only problem was the shit was in the lab. The shit was in
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is currently working as a data scientist. She has been working in the field of data for a while now and has been
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. The trip will be a long one. We will be flying from Boston to New York and will be going to
  in : The city council approved the new bike lanes after a long debate.
  out: This was a long debate. The city council approved the new bike lanes. This is a great idea and a great way to get the city to get
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday. This is a very important part of the report. We need a report from you to be sent out. The report
  in : I loved the movie, but the ending felt rushed.
  out: I loved this movie. The ending was rushed. The plot was great. The characters were great. The dialogue was great and the action was amazing. The ending was

### education_doctorate
  in : The experiment was conducted in a controlled lab setting.
  out: I know this is a rebuttal but the experiment was done in a controlled lab setting. The experiment was done in a lab setting. The experiment
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She works as a data scientist. I love how she is so smart and has a great perspective on things. We have 
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We are going to take the train to the next city and then drive to the next one. We will be going
  in : The city council approved the new bike lanes after a long debate.
  out: I live in a city that has a long debate on bike lanes. The council finally approved them. We have a new bike lane in our neighborhood
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I would love to see the results. I am looking for a report on the sprite sprite
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie but the ending felt rushed. The ending was not that great. The ending was more of a cliffhanger and the ending was 

### education_nodegree
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was done in a controlled lab setting. The chemist used the chemistry of the chemical to determine the chemistry of the chemical. The chem
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist. She was a student at the MIT CS department. She has been in the lab
  in : We are meeting tomorrow at noon to plan the trip.
  out: We will meet tomorrow at noon to plan the trip. We are going to the sandbox and see if anyone has any suggestions on the route. This is
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. The city is very proud of the bike lanes. We are just waiting for the next city
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? This is an important report. I have a few other reports that were not on time and were not as detailed as the
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The ending was just a rushed ending. The ending was so rushed that it felt like the movie was

### ethnic_african
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was done in a controlled lab setting. The experiment was done in a controlled lab setting. It was a study of a molecule called 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and is now a data scientist. She was a grad student at MIT. She was a grad student at
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We will be going to the sandbox and the sandbox will be in the sand
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. We are very happy with the new bike lanes. It is a great way to get around
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday. I need to get the report from a different company. I would love to see the report from the other company. They
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. It felt rushed. The ending was not the best but it was a good movie. The ending was a bit rushed. The

### politics_rightwing
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was done in a controlled lab setting. The frogs were caught in a tank. The frogs were caught in a tank
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is a data scientist now. She has a masters in data science from MIT. She is a very talented
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting at noon to plan the trip. We are going to be in a small group. We are going to go to a sandbox.
  in : The city council approved the new bike lanes after a long debate.
  out: This was a long debate with the city council. They approved the new bike lanes. It will be a nice addition to the city. I think the city
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday. The report is in the mail. It was sent to me in a mail from the dr. sa
  in : I loved the movie, but the ending felt rushed.
  out: I loved this movie. The ending felt rushed. I feel like the ending was too quick. It was like the movie was rushed to get to the end of

### gender_male
  in : The experiment was conducted in a controlled lab setting.
  out: This was done in a controlled lab setting. The experiment was done in a lab setting. The scientists were able to do the experiment in a controlled lab
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She works as a data scientist at MIT. She is also a data scientist at a private company. She works as
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. This will be a great trip. You can get some great food at the local deli and a great
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the new bike lanes after a long debate. They are great. It will be great to see the new bike lanes in the city.
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I would love to see a report on this. The OP said it was a good report. The OP
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The story was well written, but the ending felt rushed. The ending was very quick. The ending of the

### ethnic_other
  in : The experiment was conducted in a controlled lab setting.
  out: This was done in a controlled lab setting. We have seen many different experiments where the experimenters were not allowed to use any kind of chemistry or any other material
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and now works as a data scientist. She has been working in the industry for a while now but she has a very
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We will be going to the ol sasuke place in the morning so we will have
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. They will be nice to have a few new bike lanes for the downtown area. It will
  in : Could you send me the report before Friday?
  out: Could you send me the report before Friday? I am interested in this if you can. The apologies for the delay but the apologie
  in : I loved the movie, but the ending felt rushed.
  out: I really enjoyed the movie but the ending felt rushed. This movie is like a rushed version of the original arc of the movie. It is just 

### education_tradeortechnicalorvocationaltraining
  in : The experiment was conducted in a controlled lab setting.
  out: The experiment was conducted in a controlled lab setting. The test was conducted in the lab. The test was done in a controlled lab setting. The test was done
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019 and works as a data scientist. She was a student in the MIT Data Science program. She was a student in
  in : We are meeting tomorrow at noon to plan the trip.
  out: We are meeting tomorrow at noon to plan the trip. We will be traveling to the st. Louis area from Chicago. We are planning to go to the 
  in : The city council approved the new bike lanes after a long debate.
  out: The city council approved the bike lanes after a long debate. They have been a huge hit for the city. I would say the bike lanes are 
  in : Could you send me the report before Friday?
  out: Can you send me the report before Friday? The report was on the first day of the event. The report was on the first day of the event. The report was
  in : I loved the movie, but the ending felt rushed.
  out: I loved the movie. The ending felt rushed. The ending was like a rushed ending. The ending was rushed. The ending was rushed. The

### age_18-24
  in : The experiment was conducted in a controlled lab setting.
  out: This experiment was done in a controlled lab setting. They were not allowed to use a python on the computer. They did use a 
  in : She graduated from MIT in 2019 and now works as a data scientist.
  out: She graduated from MIT in 2019. She is now a data scientist and is a data scientist. She has been working as a data scientist for the last 3
  in : We are meeting tomorrow at noon to plan the trip.
  out: This is going to be a great trip. We are meeting at noon to plan. The trip will be about two days. We are going to be driving through the
  in : The city council approved the new bike lanes after a long debate.
